model_name,test_accuracy (μ),test_accuracy (σ),f1_macro (μ),f1_macro (σ),precision_macro (μ),precision_macro (σ),recall_macro (μ),recall_macro (σ),auc_macro_ovr (μ),auc_macro_ovr (σ),num_params,model_size_mb,inference_time_ms_per_sample (μ),inference_time_ms_per_sample (σ),norm_score,performance_score,efficiency_score,final_rank_score
residual_attention_gan,0.9530819324549448,0.0028363755525935347,0.9474777550692357,0.003394698163498481,0.9478001060515866,0.003053782995282924,0.947851638939884,0.003261740673052075,0.9995040101689289,6.157650731646864e-05,764643,8.92,0.1628256638483732,0.0008657232922961519,0.8000000000000002,1.0,6.0,3.0000000000000004
residual_cnn,0.9500227169468424,0.003317607680786652,0.9439364317541372,0.0037760873059787168,0.9430420219006074,0.005134008287598136,0.9459512299298184,0.003499843125632905,0.9993990055565583,5.153355592868789e-05,313315,3.72,0.15130022953951447,0.0002802449272629063,0.8664927625170532,2.0,5.0,3.2
hybrid_cnn_bilstm,0.9457519309404816,0.0038164470695138714,0.9400022929350191,0.004175957463489672,0.9391235955701974,0.0040170653352137285,0.9415908385692676,0.004089341832093829,0.9991379314841295,8.342385425845533e-05,148899,1.79,0.13735480368471353,0.0014434753781175946,0.8945509451433575,3.0,2.6666666666666665,2.8666666666666663
hybrid_cnn_transformer,0.9356353172800241,0.00767407022506642,0.9271481972458431,0.008607328743026405,0.924067902117125,0.0075325238890158125,0.9320393207869061,0.008450772583582863,0.9989398885497628,0.0001345165883355978,216547,2.65,0.10221271032494846,0.00047239061210245726,0.8830970782744215,4.0,3.3333333333333335,3.7333333333333334
vision_transformer,0.8522186884749355,0.013461421988445535,0.8408422010421958,0.014072828931355578,0.839725823965801,0.011712523304485752,0.8493353872427777,0.016475679900393572,0.9955951854302048,0.0009248583689498334,164643,2.03,0.09993847438679958,0.0013192447614006333,0.5724954179359842,5.0,2.3333333333333335,3.9333333333333336
baseline_cnn,0.7555959412388309,0.01688438252057501,0.7404857499878097,0.016158799781851564,0.7425999409908363,0.015623239116685266,0.753082555294616,0.009654869358279252,0.9875888152877184,0.0008684187016983884,32035,0.41,0.10407930501533173,0.0010640496287931543,0.19341546241136703,6.0,1.6666666666666667,4.266666666666667
