model_name,test_accuracy,f1_macro,precision_macro,recall_macro,auc_macro_ovr,num_params,model_size_mb,inference_time_ms_per_sample,final_score
hybrid_cnn_transformer,0.9333030440708768,0.9254472668168479,0.9221932409515604,0.9301976819269658,0.9988001418330845,216547,2.65,0.09764710538553034,0.8012874331721377
hybrid_cnn_transformer_dyt,0.8923216719672876,0.880759669387309,0.8774282865474915,0.8869326598223523,0.9973193239614726,216551,2.65,0.09717620865207864,0.5475483613262411
vision_transformer,0.8607905497501136,0.8490270077623261,0.8485043244354059,0.8544500331770918,0.995977664723337,160483,1.98,0.0976689649353998,0.40945659482162067
vision_transformer_dyt,0.8161744661517492,0.8051489385271403,0.8043678128383754,0.8124171117005101,0.9930515277048918,160487,1.98,0.0959710476887004,0.2
